3	45	2	42
5	16	0	40
17	43	3	32
4	44	0	29
2	36	0	14
24	14	44	17
1	26	4	55
47	2	25	7
43	8	33	18
31	6	14	2
1	35	2	32
0	40	0	32
5	31	2	29
2	53	5	56
2	28	2	23
7	28	6	23
29	7	20	7
40	22	27	10
25	5	44	4
1	38	1	61
9	32	4	47
16	36	16	25
45	5	32	0
1	37	0	24
35	0	22	0
22	0	56	0
22	14	24	15
14	39	8	33
5	32	1	41
4	46	3	65
35	6	47	10
27	10	20	3
40	10	58	13
33	6	38	2
22	3	24	3
18	41	1	24
11	37	11	15
1	43	3	24
53	1	28	2
46	7	21	7
46	11	17	11
19	11	30	13
60	5	10	4
2	24	0	34
5	59	0	29
2	43	1	33
0	37	0	70
0	45	0	65
21	4	23	2
46	0	31	0
4	38	4	49
44	8	42	1
44	3	33	5
0	35	7	27
6	50	9	56
4	26	4	40
37	2	33	0
14	23	23	28
35	0	59	4
12	30	15	14
50	8	34	2
9	47	13	36
0	31	0	44
36	17	6	6
3	41	3	47
48	1	21	13
9	46	2	46
8	17	18	36
22	16	7	14
31	10	33	16
24	8	21	1
39	8	32	31
22	51	10	37
7	39	2	18
1	82	0	25
0	62	1	30
39	0	22	0
2	34	0	54
4	47	1	53
43	6	16	2
10	17	6	16
30	1	28	0
4	58	0	21
7	34	12	34
0	44	1	39
0	57	0	54
34	59	0	40
40	0	20	0
47	11	28	13
6	23	0	42
50	10	38	0
50	0	37	0
1	34	5	41
2	46	1	25
4	50	0	28
38	0	53	0
1	29	3	60
6	26	5	28
15	28	18	11
6	57	0	26
7	68	11	32
37	2	41	1
0	38	1	26
15	22	15	26
34	13	12	14
29	16	31	8
0	60	0	30
40	8	26	2
34	6	50	5
64	3	36	3
34	6	39	6
6	31	10	57
20	2	61	0
0	32	2	54
12	56	1	31
47	4	27	3
44	8	21	6
20	3	63	9
25	7	40	4
25	19	40	27
9	41	9	41
7	41	3	24
8	37	11	59
3	42	0	22
2	24	1	24
0	49	0	27
48	0	37	0
9	31	8	18
48	3	56	1
1	61	5	37
10	41	8	50
51	8	43	9
23	2	17	2
1	66	0	20
10	69	5	46
4	51	2	26
33	70	8	48
4	40	1	35
0	44	5	23
16	34	23	18
43	0	38	0
46	3	41	3
0	51	2	16
2	52	0	38
7	48	5	4
30	7	32	17
2	33	0	33
33	2	21	4
1	36	1	32
16	26	3	6
12	40	3	40
7	45	2	29
13	43	5	25
52	3	22	1
31	0	61	4
0	34	0	25
33	9	46	16
38	6	61	4
5	32	11	32
14	25	20	32
48	5	37	3
2	52	6	26
1	55	1	28
44	0	18	0
61	6	22	1
1	35	1	43
0	43	1	42
41	3	65	4
3	38	2	47
2	45	0	28
0	51	3	39
